"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2026","93.205","93.313","93.449","92.872","","0.12%"
"04/10/2026","93.090","92.683","93.092","92.409","","0.67%"
"04/09/2026","92.470","92.570","92.915","92.313","","-0.12%"
"04/08/2026","92.585","92.860","92.860","92.333","","-0.30%"
"04/07/2026","92.867","93.008","93.075","92.818","","-0.21%"
"04/06/2026","93.065","92.838","93.204","92.716","","0.38%"
"04/03/2026","92.710","92.952","92.803","92.614","","-0.29%"
"04/02/2026","92.978","93.279","93.691","92.797","","-0.27%"
"04/01/2026","93.226","93.627","93.890","93.022","","-0.28%"
"03/31/2026","93.485","94.373","94.380","93.432","","-0.95%"
"03/30/2026","94.379","93.048","95.220","93.032","","-0.43%"
"03/27/2026","94.782","94.298","94.988","94.116","","0.52%"
"03/26/2026","94.288","93.800","94.301","93.800","","0.41%"
"03/25/2026","93.906","93.990","94.214","93.763","","-0.15%"
"03/24/2026","94.043","93.505","94.141","93.505","","0.89%"
"03/23/2026","93.212","93.743","94.137","92.911","","-0.51%"
"03/20/2026","93.692","92.924","93.826","92.834","","0.84%"
"03/19/2026","92.911","93.027","93.384","92.859","","-0.23%"
"03/18/2026","93.129","92.407","93.129","92.340","","0.79%"
"03/17/2026","92.395","92.240","92.491","92.240","","0.14%"
"03/16/2026","92.264","92.449","92.483","92.147","","-0.30%"
"03/13/2026","92.540","92.366","92.572","92.240","","0.16%"
"03/12/2026","92.388","92.243","92.506","92.055","","0.17%"
