Order_Date,Category,Quantity,Total_Sales
2020-11-01,SSD,1.0,8450.0
2020-11-01,CPU,3.0,33150.0
2020-11-01,Graphic Card,2.0,18200.0
2020-11-01,RAM,3.0,25545.0
2020-11-01,MotherBoard,4.0,39780.0
2020-11-01,Cabinet,2.0,2990.0
2020-11-01,Keyboard,3.0,3315.0
2020-12-01,Mouse,2.0,1690.0
,Monitor,1.0,9750.0
,HDD,3.0,39000.0
,SSD,1.0,13650.0
,CPU,4.0,44200.0
,Graphic Card,2.0,18200.0
,RAM,1.0,2184.0
,MotherBoard,2.0,17004.0
,Cabinet,1.0,3484.0
,Monitor,2.0,21450.0
,RAM,4.0,13780.0
,Monitor,2.0,32630.0
,CPU,2.0,37700.0
,Keyboard,1.0,1040.0
,Mouse,3.0,2340.0
,Monitor,4.0,54600.0
,HDD,1.0,8450.0
,SSD,4.0,23400.0
,CPU,2.0,22100.0
,Graphic Card,2.0,32500.0
,Computer Case,3.0,13650.0
,Mouse,4.0,23400.0
,Cabinet,3.0,8190.0
,Keyboard,3.0,4485.0
,Mouse,1.0,455.0
,Monitor,3.0,37050.0
,HDD,1.0,13000.0
,SSD,3.0,25350.0
2020-01-02,CPU,4.0,44200.0
2020-01-02,Graphic Card,3.0,27300.0
2020-01-02,Computer Case,3.0,25545.0
2020-01-02,Mouse,3.0,29835.0
2020-02-02,Cabinet,1.0,1495.0
2020-03-02,Keyboard,1.0,1105.0
2020-03-02,Mouse,2.0,1690.0
2020-03-02,Monitor,1.0,9750.0
2020-04-02,HDD,3.0,39000.0
2020-05-02,SSD,2.0,27300.0
2020-06-02,CPU,4.0,44200.0
2020-07-02,Graphic Card,4.0,36400.0
2020-08-02,Computer Case,2.0,4368.0
2020-09-02,Mouse,1.0,8502.0
2020-10-02,Cabinet,1.0,3484.0
2020-11-02,Monitor,1.0,10725.0
2020-12-02,RAM,3.0,10335.0
,Monitor,3.0,48945.0
,CPU,3.0,56550.0
,Keyboard,3.0,3120.0
,Mouse,3.0,2340.0
,Monitor,3.0,40950.0
,HDD,2.0,16900.0
,SSD,2.0,11700.0
,CPU,2.0,22100.0
,Graphic Card,4.0,65000.0
,NIC,2.0,9100.0
,Printer,2.0,11700.0
,Cabinet,3.0,8190.0
,Keyboard,1.0,1495.0
,Mouse,1.0,455.0
,Monitor,1.0,12350.0
,HDD,1.0,13000.0
,SSD,3.0,25350.0
,CPU,3.0,33150.0
,Graphic Card,1.0,9100.0
,NIC,2.0,17030.0
2020-01-03,Printer,3.0,29835.0
2020-02-03,Cabinet,2.0,2990.0
2020-03-03,Keyboard,1.0,1105.0
2020-04-03,Mouse,3.0,2535.0
2020-05-03,Monitor,4.0,39000.0
2020-06-03,HDD,2.0,26000.0
2020-07-03,SSD,3.0,40950.0
2020-07-03,CPU,3.0,33150.0
2020-07-03,Graphic Card,2.0,18200.0
2020-07-03,NIC,4.0,8736.0
2020-07-03,Printer,1.0,8502.0
2020-07-03,Cabinet,3.0,10452.0
2020-07-03,Monitor,2.0,21450.0
2020-08-03,RAM,3.0,10335.0
2020-09-03,Monitor,1.0,16315.0
2020-10-03,CPU,1.0,18850.0
2020-11-03,Keyboard,2.0,2080.0
2020-12-03,Mouse,1.0,780.0
,Monitor,1.0,13650.0
,HDD,3.0,25350.0
,SSD,2.0,11700.0
,CPU,1.0,11050.0
,Graphic Card,3.0,48750.0
,RAM,1.0,4550.0
,Motherboard,4.0,23400.0
,Cabinet,3.0,8190.0
,Keyboard,4.0,5980.0
,Mouse,3.0,1365.0
,Monitor,3.0,37050.0
,HDD,1.0,13000.0
,SSD,2.0,16900.0
,CPU,1.0,11050.0
,Graphic Card,3.0,27300.0
,RAM,2.0,17030.0
,Motherboard,4.0,39780.0
,Cabinet,2.0,2990.0
,Keyboard,4.0,4420.0
,Mouse,4.0,3380.0
,Monitor,1.0,9750.0
,HDD,2.0,26000.0
,SSD,3.0,40950.0
,CPU,4.0,44200.0
,Graphic Card,1.0,9100.0
,RAM,2.0,4368.0
,Motherboard,2.0,17004.0
,Cabinet,1.0,3484.0
,Monitor,1.0,10725.0
,RAM,3.0,10335.0
,Monitor,4.0,65260.0
,CPU,1.0,18850.0
,Keyboard,2.0,2080.0
,Mouse,3.0,2340.0
,Monitor,1.0,13650.0
,HDD,1.0,8450.0
,SSD,1.0,5850.0
,CPU,4.0,44200.0
,Graphic Card,4.0,65000.0
,Computer Case,3.0,13650.0
,Mouse,4.0,23400.0
,Cabinet,3.0,8190.0
,Keyboard,2.0,2990.0
,Mouse,3.0,1365.0
,Monitor,4.0,49400.0
,HDD,4.0,52000.0
,SSD,1.0,8450.0
,CPU,3.0,33150.0
,Graphic Card,3.0,27300.0
,Computer Case,3.0,25545.0
,Mouse,4.0,39780.0
,Cabinet,2.0,2990.0
,Keyboard,2.0,2210.0
,Mouse,1.0,845.0
,Monitor,2.0,19500.0
,HDD,1.0,13000.0
,SSD,2.0,27300.0
,CPU,1.0,11050.0
,Graphic Card,4.0,36400.0
,Computer Case,2.0,4368.0
,Mouse,3.0,25506.0
,Cabinet,1.0,3484.0
,Monitor,4.0,42900.0
,RAM,4.0,13780.0
,Monitor,4.0,65260.0
,CPU,1.0,18850.0
,Keyboard,4.0,4160.0
,Mouse,2.0,1560.0
,Monitor,1.0,13650.0
,HDD,3.0,25350.0
,SSD,1.0,5850.0
,CPU,4.0,44200.0
,Graphic Card,1.0,16250.0
,NIC,2.0,9100.0
,Printer,3.0,17550.0
,Cabinet,4.0,10920.0
,Keyboard,3.0,4485.0
,Mouse,4.0,1820.0
,Monitor,4.0,49400.0
,HDD,2.0,26000.0
,SSD,4.0,33800.0
,CPU,2.0,22100.0
,Graphic Card,3.0,27300.0
,NIC,2.0,17030.0
,Printer,2.0,19890.0
,Cabinet,3.0,4485.0
,Keyboard,1.0,1105.0
,Mouse,4.0,3380.0
,Monitor,1.0,9750.0
,HDD,1.0,13000.0
,SSD,3.0,40950.0
,CPU,1.0,11050.0
,Graphic Card,3.0,27300.0
,NIC,2.0,4368.0
,Printer,3.0,25506.0
,Cabinet,3.0,10452.0
,Monitor,4.0,42900.0
,RAM,4.0,13780.0
,Monitor,4.0,65260.0
,CPU,1.0,18850.0
,Keyboard,4.0,4160.0
,Mouse,2.0,1560.0
,Monitor,1.0,13650.0
,HDD,4.0,33800.0
,SSD,2.0,11700.0
,CPU,3.0,33150.0
,Graphic Card,2.0,32500.0
,RAM,4.0,18200.0
,Motherboard,2.0,11700.0
,Cabinet,1.0,2730.0
,Keyboard,1.0,1495.0
,Mouse,2.0,910.0
,Monitor,2.0,24700.0
,HDD,4.0,52000.0
,SSD,3.0,25350.0
,CPU,4.0,44200.0
,Graphic Card,4.0,36400.0
,RAM,1.0,8515.0
,Motherboard,1.0,9945.0
,Cabinet,1.0,1495.0
,Keyboard,4.0,4420.0
,Mouse,1.0,845.0
,Monitor,3.0,29250.0
,HDD,1.0,13000.0
,SSD,1.0,13650.0
,CPU,2.0,22100.0
,Graphic Card,4.0,36400.0
,RAM,1.0,2184.0
,Motherboard,3.0,25506.0
,Cabinet,3.0,10452.0
,Monitor,1.0,10725.0
,RAM,3.0,10335.0
,Monitor,4.0,65260.0
,CPU,1.0,18850.0
,Keyboard,4.0,4160.0
,Mouse,4.0,3120.0
,Monitor,3.0,40950.0
,HDD,2.0,16900.0
,SSD,1.0,5850.0
,CPU,4.0,44200.0
,Graphic Card,3.0,48750.0
,Computer Case,1.0,4550.0
,Mouse,1.0,5850.0
,Cabinet,1.0,2730.0
,Keyboard,2.0,2990.0
,Mouse,1.0,455.0
,Monitor,3.0,37050.0
,HDD,4.0,52000.0
,SSD,3.0,25350.0
,CPU,1.0,11050.0
,Graphic Card,2.0,18200.0
