S.No,State,total_population,population_male,population_female
1,MAHARASHTRA,127528000,19961736,17760400
2,UTTAR PRADESH,241066874,13433369,11869556
3,ANDHRA PRADESH,53340000,9192368,8979247
4,WEST BENGAL,99563000,9357777,8705732
5,GUJARAT,72367000,9541688,8293361
6,KARNATAKA,68115000,8112840,7687056
7,TAMIL NADU,77089000,6957261,6922134
8,DELHI,21752000,7201322,6280675
9,MADHYA PRADESH,87610000,5761143,5261948
10,RAJASTHAN,81897000,5484470,4958546
11,BIHAR,128592000,3558722,3155794
12,HARYANA,30573000,3181968,2770255
13,PUNJAB,30926000,3106473,2715403
14,JHARKHAND,39963000,2247819,2030440
15,CHHATTISGARH,1243000,1612019,1525899
16,ORISSA,46566000,1560423,1442811
17,KERALA,35920000,1335615,1420358
18,J&K,13701000,953292,851695
19,ASSAM,36047000,720132,671022
20,UTTARANCHAL,11755000,706939,633458
21,CHANDIGARH,960787,525226,435561
22,PONDY,541801,266359,275442
23,TRIPURA,4184000,199616,200072
24,MIZORAM,3379000,143803,148019
25,MANIPUR,3253000,128931,136055
26,HIMACHAL PRADESH,7505000,93364,76394
27,MEGHALAYA,3379000,70028,72979
28,NAGALAND,2253000,65017,58760
29,ANDAMAN & NICOBAR ISLANDS,100608,53247,47361
30,SIKKIM,695577,323070,287507
31,DNH,13039,8193,4846
32,TELANGANA,38003674,17611633,17392041
33,GOA,1458545,739140,719405
34,LAKSHADWEEP,69000,33402,31071
35,arunachal pradesh,1576000,682004,701723
36,Ladakh,302000,850000,840000
