FIPStxt,State,Area_Name,POP_ESTIMATE_2023
00000,US,United States,"334,914,895"
01000,AL,Alabama,"5,108,468"
01001,AL,Autauga County,"60,342"
01003,AL,Baldwin County,"253,507"
01005,AL,Barbour County,"24,585"
01007,AL,Bibb County,"21,868"
01009,AL,Blount County,"59,816"
01011,AL,Bullock County,"9,897"
01013,AL,Butler County,"18,382"
01015,AL,Calhoun County,"116,429"
01017,AL,Chambers County,"34,079"
01019,AL,Cherokee County,"25,666"
01021,AL,Chilton County,"46,431"
01023,AL,Choctaw County,"12,252"
01025,AL,Clarke County,"22,337"
01027,AL,Clay County,"14,111"
01029,AL,Cleburne County,"15,639"
01031,AL,Coffee County,"55,643"
01033,AL,Colbert County,"58,361"
01035,AL,Conecuh County,"11,174"
01037,AL,Coosa County,"10,268"
01039,AL,Covington County,"37,952"
01041,AL,Crenshaw County,"13,101"
01043,AL,Cullman County,"92,016"
01045,AL,Dale County,"49,871"
01047,AL,Dallas County,"36,165"
01049,AL,DeKalb County,"72,569"
01051,AL,Elmore County,"90,441"
01053,AL,Escambia County,"36,558"
01055,AL,Etowah County,"103,241"
01057,AL,Fayette County,"15,967"
01059,AL,Franklin County,"31,802"
01061,AL,Geneva County,"26,988"
01063,AL,Greene County,"7,341"
01065,AL,Hale County,"14,888"
01067,AL,Henry County,"17,899"
01069,AL,Houston County,"108,462"
01071,AL,Jackson County,"53,467"
01073,AL,Jefferson County,"662,895"
01075,AL,Lamar County,"13,661"
01077,AL,Lauderdale County,"96,814"
01079,AL,Lawrence County,"33,502"
01081,AL,Lee County,"183,215"
01083,AL,Limestone County,"114,654"
01085,AL,Lowndes County,"9,717"
01087,AL,Macon County,"18,370"
01089,AL,Madison County,"412,600"
01091,AL,Marengo County,"18,684"
01093,AL,Marion County,"29,244"
01095,AL,Marshall County,"100,756"
01097,AL,Mobile County,"411,640"
01099,AL,Monroe County,"19,229"
01101,AL,Montgomery County,"224,980"
01103,AL,Morgan County,"125,133"
01105,AL,Perry County,"7,738"
01107,AL,Pickens County,"18,688"
01109,AL,Pike County,"33,137"
01111,AL,Randolph County,"22,786"
01113,AL,Russell County,"58,744"
01115,AL,St. Clair County,"95,552"
